type,product,points,price
GIFTCARD,$25 Apple Gift Card,2500,25.00
GIFTCARD,$50 Apple Gift Card,5000,50.00
GIFTCARD,$100 Apple Gift Card,10000,100.00
GIFTCARD*,$25 Apple Gift Card (Discount),2250,25.00
GIFTCARD*,$50 Apple Gift Card (Discount),4500,50.00
GIFTCARD*,$100 Apple Gift Card (Discount),9000,100.00
ACCESSORY,35W Dual USB-C Port Compact Power Adapter,12400,59.00
ACCESSORY,96W USB-C Power Adapter,15300,79.00
ACCESSORY,USB SuperDrive,15300,79.00
ACCESSORY,HomePod mini,18100,99.00
ACCESSORY,Magic Keyboard with Numeric Keypad,22800,129.00
ACCESSORY,Magic Trackpad - White,22800,129.00
ACCESSORY,Magic Keyboard Folio for iPad (10th generation),40000,249.00
ACCESSORY,Magic Keyboard Folio for iPad (10th generation),40000,249.00
ACCESSORY,Magic Keyboard for iPad Pro 11-inch,47200,299.00
ACCESSORY,Magic Keyboard for iPad Pro 12.9‑inch ,54400,349.00
TV,TV 4K WiFi 64GB,22500,129.00
TV,TV 4K WiFi/Ethernet 128GB,25300,149.00
DESKTOP,Mac mini 8-Core CPU 10-Core GPU 8GB Unified Memory 256GB SSD,90700,599.00
DESKTOP,Mac m8-Core CPU 10-Core GPU 8GB Unified Memory 512GB SSD,119500,799.00
DESKTOP,Mac Studio M2 Max 12-Core CPU 30-Core GPU 512 SSD,292900,1999.00
HEADPHONE,AirPods - 2nd Gen,22500,129.00
HEADPHONE,AirPods (3rd generation) with MagSafe Charging Case,29700,179.00
HEADPHONE,AirPods Pro (2nd generation),39700,249.00
HEADPHONE,AirPods Max,83500,549.00
WATCH,Watch SE GPS 40mm,40000,249.00
WATCH,Watch SE GPS 44mm,44400,279.00
WATCH,Watch Series 9 GPS 41mm,61600,399.00
WATCH,Watch Series 9 GPS 45mm,66000,429.00
LAPTOP,15" MacBook Air M2 8-Core CPU 10-Core GPU 256GB SSD,192700,1299.00
LAPTOP,15" MacBook Air M2 8-Core CPU 10-Core GPU 512GB SSD,221500,1499.00
LAPTOP,14" MacBook Pro M2 Pro 12‑Core CPU 19‑Core GPU 1TB SSD,365000,2499.00
LAPTOP,14" MacBook Pro M2 Max 12‑Core CPU 30‑Core GPU 1TB SSD,451400,3099.00
LAPTOP,16" MacBook Pro M2 Max 12‑Core CPU 38‑Core GPU 1TB SSD,509800,3449.00
TABLET,10.9" iPad WiFi 64GB - 10th Gen,69100,449.00
TABLET,10.2" iPad WiFi 256GB - 9th Gen,73400,479.00
TABLET,iPad mini WiFi 64GB - 6th Gen,76000,499.00
TABLET,10.9" iPad WiFi 256GB - 10th Gen,90700,599.00
TABLET,10.9" iPad Air WiFi 64GB - 5th Gen,91000,599.00
TABLET,iPad mini WiFi 256GB - 6th Gen,97600,649.00
TABLET,10.9" iPad Air WiFi 256GB - 5th Gen,112600,749.00
TABLET,11" iPad Pro Wifi 128GB - 4th Gen,119800,799.00
TABLET,11" iPad Pro Wifi 256GB - 4th Gen,134200,899.00
TABLET,11" iPad Pro Wifi 512GB - 4th Gen,163000,1090.00
TABLET,12.9" iPad Pro WiFi 128GB - 6th Gen,163400,1090.00
TABLET,12.9" iPad Pro WiFi 256GB - 6th Gen,177800,1199.00
TABLET,12.9" iPad Pro WiFi 512GB - 6th Gen,206600,1399.00
TABLET,11" iPad Pro Wifi 1TB - 4th Gen,220600,1499.00
TABLET,12.9" iPad Pro WiFi 1TB - 6th Gen,264200,1799.00
TABLET,11" iPad Pro Wifi 2TB - 4th Gen,278200,1899.00
TABLET,12.9" iPad Pro WiFi 2TB - 6th Gen,321800,2199.00
MOBILE,iPhone SE 64GB - 3rd Gen,66100,429.00
MOBILE,iPhone SE 128GB - 3rd Gen,73300,479.00
MOBILE,iPhone SE 256GB - 3rd Gen,87700,579.00
MOBILE,iPhone 15 128GB,123800,799.00
MOBILE,iPhone 14 128GB,123800,799.00
MOBILE,iPhone 15 256GB,138200,899.00
MOBILE,iPhone 15 Plus 128GB,138200,899.00
MOBILE,iPhone 14 Plus 128GB,138200,799.00
MOBILE,iPhone 14 256GB,138200,799.00
MOBILE,iPhone 15 Pro 128GB,148500,999.00
MOBILE,iPhone 14 Plus 256GB,152600,899.00
MOBILE,iPhone 15 Plus 256GB,152600,999.00
MOBILE,iPhone 15 Pro 256GB,162900,1099.00
MOBILE,iPhone 15 512GB,167000,1090.00
MOBILE,iPhone 15 Pro Max 256GB,177300,1190.00
MOBILE,iPhone 15 Plus 512GB,181400,1190.00
MOBILE,iPhone 15 Pro 512GB,191700,1299.00
MOBILE,iPhone 15 Pro Max 512GB,206100,1390.00
